,n_samples,n_mfcc,hop_win,len_win,n_iter,n_hidden,accuracy,recall,precision,F1_score
87,100.0,13.0,0.03,0.04,50.0,4.0,"[0.9, 0.9, 0.99, 1.0, 1.0]","[0.9, 0.9, 0.99, 1.0, 1.0]","[0.9334816462736374, 0.95, 0.990909090909091, 1.0, 1.0]","[0.860064025610244, 0.8666666666666666, 0.9899749373433585, 1.0, 1.0]"
88,100.0,13.0,0.03,0.04,50.0,6.0,"[0.9, 1.0, 1.0, 0.99, 0.99]","[0.9, 1.0, 1.0, 0.99, 0.99]","[0.95, 1.0, 1.0, 0.990909090909091, 0.990909090909091]","[0.8666666666666666, 1.0, 1.0, 0.9899749373433585, 0.9899749373433585]"
89,100.0,13.0,0.03,0.04,50.0,12.0,"[0.885, 0.9, 0.7, 0.9, 0.9]","[0.885, 0.9, 0.7, 0.9, 0.9]","[0.9369565217391305, 0.95, 0.925, 0.9346801346801347, 0.95]","[0.8515818143725121, 0.8666666666666666, 0.64, 0.860578081091931, 0.8666666666666666]"
90,100.0,13.0,0.05,0.025,15.0,4.0,"[0.915, 0.78, 0.955, 0.875, 0.835]","[0.915, 0.78, 0.955, 0.875, 0.835]","[0.9425, 0.8614158814158813, 0.9618181818181819, 0.924009324009324, 0.9059288537549406]","[0.9095835569519781, 0.7069077739596199, 0.953024753024753, 0.8392251815980629, 0.8056814207824]"
91,100.0,13.0,0.05,0.025,15.0,6.0,"[0.91, 0.98, 0.775, 0.93, 0.765]","[0.91, 0.98, 0.775, 0.93, 0.765]","[0.9406060606060607, 0.9816017316017316, 0.9157700810611644, 0.9358730158730159, 0.8993939393939394]","[0.901926724568234, 0.9799290579778385, 0.730798072602761, 0.9293454790823212, 0.7346666666666667]"
92,100.0,13.0,0.05,0.025,15.0,12.0,"[0.75, 0.835, 0.815, 0.75, 0.76]","[0.75, 0.835, 0.815, 0.75, 0.76]","[0.8257295560364614, 0.8871751777634131, 0.9053351573187415, 0.8593840617685078, 0.8711827956989248]","[0.6746124489299413, 0.7851046698872786, 0.785013585013585, 0.6824133045348397, 0.6986037547239693]"
93,100.0,13.0,0.05,0.025,30.0,4.0,"[0.96, 0.8, 0.825, 0.785, 0.845]","[0.96, 0.8, 0.825, 0.785, 0.845]","[0.9652173913043478, 0.8342205077531165, 0.8902167277167277, 0.870480668756531, 0.9278138528138529]","[0.9598943691966949, 0.760147973174807, 0.7861898288124894, 0.7335459623016416, 0.817327184300363]"
94,100.0,13.0,0.05,0.025,30.0,6.0,"[0.96, 0.935, 0.82, 0.96, 0.87]","[0.96, 0.935, 0.82, 0.96, 0.87]","[0.9619318181818182, 0.9414569031273836, 0.8874375630520903, 0.9714285714285714, 0.9188571428571428]","[0.9595238095238097, 0.934383081578704, 0.779722988355471, 0.9595571095571094, 0.838989898989899]"
95,100.0,13.0,0.05,0.025,30.0,12.0,"[0.755, 0.68, 0.83, 0.63, 0.735]","[0.755, 0.68, 0.83, 0.63, 0.735]","[0.8629653679653679, 0.8231852152904784, 0.9289377289377291, 0.8443701226309922, 0.868523153942428]","[0.6918087572259588, 0.5843612527823054, 0.8026921587897198, 0.5576269967991487, 0.6819774998879476]"
96,100.0,13.0,0.05,0.025,50.0,4.0,"[0.84, 0.71, 0.785, 0.675, 0.825]","[0.84, 0.71, 0.785, 0.675, 0.825]","[0.878549019607843, 0.8254109724697959, 0.8126862611073138, 0.8380131362889983, 0.9103853593215295]","[0.801598440545809, 0.6366409447704101, 0.7348187037848558, 0.6272556850000459, 0.7952167926264936]"
97,100.0,13.0,0.05,0.025,50.0,6.0,"[0.78, 0.87, 0.895, 0.875, 0.825]","[0.78, 0.87, 0.895, 0.875, 0.825]","[0.8759170952158329, 0.9171428571428573, 0.9313852813852813, 0.905676953952816, 0.8852475685234306]","[0.7107708676792123, 0.8327272727272728, 0.8860899334583544, 0.8333923277197508, 0.7906530394544922]"
98,100.0,13.0,0.05,0.025,50.0,12.0,"[0.785, 0.82, 0.85, 0.985, 0.87]","[0.785, 0.82, 0.85, 0.985, 0.87]","[0.8851202285091887, 0.8895583583083584, 0.8989974937343358, 0.9857142857142857, 0.9188571428571428]","[0.7187965121617068, 0.7916084900533379, 0.8158604380639705, 0.9849807445442876, 0.838989898989899]"
99,100.0,13.0,0.05,0.04,15.0,4.0,"[0.84, 0.84, 0.975, 0.9, 0.71]","[0.84, 0.84, 0.975, 0.9, 0.71]","[0.904074074074074, 0.904074074074074, 0.9771946169772258, 0.95, 0.8474747474747474]","[0.8051641030364435, 0.8051641030364435, 0.9744731203125986, 0.8666666666666666, 0.6286654135338346]"
100,100.0,13.0,0.05,0.04,15.0,6.0,"[0.885, 0.91, 0.78, 0.91, 0.87]","[0.885, 0.91, 0.78, 0.91, 0.87]","[0.9141774891774892, 0.9526315789473685, 0.93125, 0.9464646464646465, 0.9363636363636364]","[0.8571235828138727, 0.8871473354231975, 0.7365079365079364, 0.8901895206243033, 0.8419486215538846]"
101,100.0,13.0,0.05,0.04,15.0,12.0,"[0.89, 0.985, 0.7, 0.87, 0.62]","[0.89, 0.985, 0.7, 0.87, 0.62]","[0.921439205955335, 0.9869565217391305, 0.8555555555555556, 0.9100333704115684, 0.7108693332194997]","[0.8490136252823021, 0.9851959953551142, 0.6030769230769231, 0.8305855675603574, 0.5455836374240186]"
102,100.0,13.0,0.05,0.04,30.0,4.0,"[0.975, 0.9, 0.935, 0.99, 0.835]","[0.975, 0.9, 0.935, 0.99, 0.835]","[0.98, 0.9283957276944653, 0.9577380952380952, 0.990909090909091, 0.9230109435078379]","[0.9746031746031746, 0.8584111501021036, 0.9290628071115876, 0.9899749373433585, 0.8031340004952178]"
103,100.0,13.0,0.05,0.04,30.0,6.0,"[1.0, 1.0, 0.995, 0.975, 0.8]","[1.0, 1.0, 0.995, 0.975, 0.8]","[1.0, 1.0, 0.9952380952380951, 0.98, 0.8817982456140351]","[1.0, 1.0, 0.9949968730456535, 0.9746031746031747, 0.7258885941644563]"
104,100.0,13.0,0.05,0.04,30.0,12.0,"[0.8, 0.7, 0.8, 0.885, 0.695]","[0.8, 0.7, 0.8, 0.885, 0.695]","[0.8965201465201466, 0.8704761904761904, 0.8705738705738706, 0.9369565217391305, 0.7244189968236134]","[0.7320242524459143, 0.6116161616161616, 0.7217184265010351, 0.851581814372512, 0.5880568585211098]"
105,100.0,13.0,0.05,0.04,50.0,4.0,"[0.99, 1.0, 0.995, 0.85, 0.915]","[0.99, 1.0, 0.995, 0.85, 0.915]","[0.990909090909091, 1.0, 0.9952380952380951, 0.910515873015873, 0.9385057471264368]","[0.9899749373433585, 1.0, 0.9949968730456535, 0.8246255776743581, 0.9080670652099223]"
106,100.0,13.0,0.05,0.04,50.0,6.0,"[0.9, 0.84, 0.9, 0.99, 0.955]","[0.9, 0.84, 0.9, 0.99, 0.955]","[0.95, 0.8988840074736152, 0.95, 0.990909090909091, 0.9607843137254902]","[0.8666666666666666, 0.8067588458892488, 0.8666666666666666, 0.9899749373433585, 0.954018954018954]"
107,100.0,13.0,0.05,0.04,50.0,12.0,"[0.985, 0.865, 0.83, 0.8, 0.775]","[0.985, 0.865, 0.83, 0.8, 0.775]","[0.9869565217391305, 0.9425531914893617, 0.8927521008403361, 0.8935406698564593, 0.8805462653288739]","[0.9849151477058453, 0.8384893713251923, 0.7804843304843304, 0.7308702791461411, 0.7505802351541152]"
108,200.0,13.0,0.01,0.025,15.0,4.0,"[0.9, 0.8, 0.8, 0.8, 0.8]","[0.9, 0.8, 0.8, 0.8, 0.8]","[0.95, 0.9333333333333332, 0.9333333333333332, 0.9333333333333332, 0.9333333333333332]","[0.8666666666666666, 0.75, 0.75, 0.75, 0.75]"
109,200.0,13.0,0.01,0.025,15.0,6.0,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]"
110,200.0,13.0,0.01,0.025,15.0,12.0,"[1.0, 1.0, 1.0, 0.9575, 0.9525]","[1.0, 1.0, 1.0, 0.9575, 0.9525]","[1.0, 1.0, 1.0, 0.9701754385964912, 0.9677966101694915]","[1.0, 1.0, 1.0, 0.9554900998199968, 0.9496605398244742]"
111,200.0,13.0,0.01,0.025,30.0,4.0,"[0.9, 0.8, 0.7, 0.7925, 0.8]","[0.9, 0.8, 0.7, 0.7925, 0.8]","[0.95, 0.9333333333333332, 0.925, 0.932520325203252, 0.9333333333333332]","[0.8666666666666666, 0.75, 0.64, 0.7451836507051232, 0.75]"
112,200.0,13.0,0.01,0.025,30.0,6.0,"[0.9925, 1.0, 1.0, 1.0, 1.0]","[0.9925, 1.0, 1.0, 1.0, 1.0]","[0.9930232558139536, 1.0, 1.0, 1.0, 1.0]","[0.9924894382725707, 1.0, 1.0, 1.0, 1.0]"
113,200.0,13.0,0.01,0.025,30.0,12.0,"[0.9, 1.0, 1.0, 1.0, 1.0]","[0.9, 1.0, 1.0, 1.0, 1.0]","[0.95, 1.0, 1.0, 1.0, 1.0]","[0.8666666666666666, 1.0, 1.0, 1.0, 1.0]"
114,200.0,13.0,0.01,0.025,50.0,4.0,"[0.9, 0.8, 0.8, 0.8, 0.8]","[0.9, 0.8, 0.8, 0.8, 0.8]","[0.95, 0.9333333333333332, 0.9333333333333332, 0.9333333333333332, 0.9333333333333332]","[0.8666666666666666, 0.75, 0.75, 0.75, 0.75]"
115,200.0,13.0,0.01,0.025,50.0,6.0,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]"
116,200.0,13.0,0.01,0.025,50.0,12.0,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]"
117,200.0,13.0,0.01,0.04,15.0,4.0,"[0.9, 0.8, 0.8, 0.8, 0.8]","[0.9, 0.8, 0.8, 0.8, 0.8]","[0.95, 0.9333333333333332, 0.9333333333333332, 0.9333333333333332, 0.9333333333333332]","[0.8666666666666666, 0.75, 0.75, 0.75, 0.75]"
118,200.0,13.0,0.01,0.04,15.0,6.0,"[0.99, 1.0, 1.0, 1.0, 1.0]","[0.99, 1.0, 1.0, 1.0, 1.0]","[0.990909090909091, 1.0, 1.0, 1.0, 1.0]","[0.9899749373433585, 1.0, 1.0, 1.0, 1.0]"
119,200.0,13.0,0.01,0.04,15.0,12.0,"[0.9, 1.0, 1.0, 0.9, 1.0]","[0.9, 1.0, 1.0, 0.9, 1.0]","[0.95, 1.0, 1.0, 0.95, 1.0]","[0.8666666666666666, 1.0, 1.0, 0.8666666666666666, 1.0]"
120,200.0,13.0,0.01,0.04,30.0,4.0,"[0.9, 0.8, 0.8, 0.8, 0.8]","[0.9, 0.8, 0.8, 0.8, 0.8]","[0.95, 0.9333333333333332, 0.9333333333333332, 0.9333333333333332, 0.9333333333333332]","[0.8666666666666666, 0.75, 0.75, 0.75, 0.75]"
121,200.0,13.0,0.01,0.04,30.0,6.0,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]"
122,200.0,13.0,0.01,0.04,30.0,12.0,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]"
123,200.0,13.0,0.01,0.04,50.0,4.0,"[0.9, 0.8, 0.8, 0.8, 0.8]","[0.9, 0.8, 0.8, 0.8, 0.8]","[0.95, 0.9333333333333332, 0.9333333333333332, 0.9333333333333332, 0.9333333333333332]","[0.8666666666666666, 0.75, 0.75, 0.75, 0.75]"
124,200.0,13.0,0.01,0.04,50.0,6.0,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]"
125,200.0,13.0,0.01,0.04,50.0,12.0,"[0.955, 1.0, 1.0, 1.0, 1.0]","[0.955, 1.0, 1.0, 1.0, 1.0]","[0.9689655172413794, 1.0, 1.0, 1.0, 1.0]","[0.9526003949967082, 1.0, 1.0, 1.0, 1.0]"
126,200.0,13.0,0.03,0.025,15.0,4.0,"[0.735, 0.9, 1.0, 0.9, 0.9925]","[0.735, 0.9, 1.0, 0.9, 0.9925]","[0.8596713615023474, 0.9333709603244281, 1.0, 0.95, 0.9930232558139536]","[0.6677242459851155, 0.8602394186620309, 1.0, 0.8666666666666666, 0.9924894382725707]"
127,200.0,13.0,0.03,0.025,15.0,6.0,"[0.88, 0.9975, 0.9475, 0.9975, 0.9]","[0.88, 0.9975, 0.9475, 0.9975, 0.9]","[0.8435406698564593, 0.9975609756097561, 0.9552178727911792, 0.9975609756097561, 0.95]","[0.8530925013683635, 0.9974996093139553, 0.9429303005206532, 0.9974996093139553, 0.8666666666666666]"
128,200.0,13.0,0.03,0.025,15.0,12.0,"[0.74, 0.8525, 0.8, 0.8675, 0.7]","[0.74, 0.8525, 0.8, 0.8675, 0.7]","[0.8845442410373761, 0.9036231884057971, 0.8827475685234306, 0.931941031941032, 0.8523017902813298]","[0.6790372418279396, 0.8112389120196312, 0.726352340153793, 0.8389502164502164, 0.6013468013468013]"
129,200.0,13.0,0.03,0.025,30.0,4.0,"[0.9, 1.0, 0.9, 0.8475, 0.7925]","[0.9, 1.0, 0.9, 0.8475, 0.7925]","[0.9435406698564592, 1.0, 0.9435406698564592, 0.896756566190728, 0.9005242059821154]","[0.8642036124794745, 1.0, 0.8642036124794745, 0.8029403819452051, 0.7291998840540534]"
130,200.0,13.0,0.03,0.025,30.0,6.0,"[0.995, 0.8975, 0.875, 0.8725, 0.9]","[0.995, 0.8975, 0.875, 0.8725, 0.9]","[0.9952380952380951, 0.947560975609756, 0.9140486574555298, 0.9248753356348293, 0.9422222222222223]","[0.9949968730456535, 0.864166275980622, 0.8365302299865232, 0.8418778566781284, 0.8636828644501279]"
131,200.0,13.0,0.03,0.025,30.0,12.0,"[0.705, 0.7425, 0.91, 0.9, 1.0]","[0.705, 0.7425, 0.91, 0.9, 1.0]","[0.7873180873180873, 0.8444740902661695, 0.9526315789473685, 0.9379706812302385, 1.0]","[0.6303005521436321, 0.6742814483016051, 0.8871473354231975, 0.8619597125215103, 1.0]"
132,200.0,13.0,0.03,0.025,50.0,4.0,"[1.0, 0.9, 0.9, 0.785, 0.835]","[1.0, 0.9, 0.9, 0.785, 0.835]","[1.0, 0.9435406698564592, 0.9481938870021611, 0.8897731076715122, 0.898616782547916]","[1.0, 0.8642036124794745, 0.865992322855068, 0.7448343841046935, 0.7941182746212914]"
133,200.0,13.0,0.03,0.025,50.0,6.0,"[0.7, 0.9675, 0.95, 0.85, 0.9975]","[0.7, 0.9675, 0.95, 0.85, 0.9975]","[0.8720442410373761, 0.9754716981132076, 0.9666666666666666, 0.9013942825059655, 0.9975609756097561]","[0.6116379744286722, 0.9666185203017172, 0.9466666666666665, 0.8072762011838676, 0.9974996093139553]"
134,200.0,13.0,0.03,0.025,50.0,12.0,"[0.8025, 0.8, 0.9, 0.855, 0.98]","[0.8025, 0.8, 0.9, 0.855, 0.98]","[0.8825, 0.8864023870417732, 0.9320242524459142, 0.9154856637615257, 0.9833333333333334]","[0.731366343094869, 0.7279732499915987, 0.8595735129068462, 0.8179579807759559, 0.9797979797979798]"
135,200.0,13.0,0.03,0.04,15.0,4.0,"[1.0, 1.0, 1.0, 1.0, 0.85]","[1.0, 1.0, 1.0, 1.0, 0.85]","[1.0, 1.0, 1.0, 1.0, 0.9148717948717947]","[1.0, 1.0, 1.0, 1.0, 0.8225233703494572]"
136,200.0,13.0,0.03,0.04,15.0,6.0,"[0.9, 0.9975, 0.9, 1.0, 0.9]","[0.9, 0.9975, 0.9, 1.0, 0.9]","[0.95, 0.9975609756097561, 0.9410105757931845, 1.0, 0.9371428571428573]","[0.8666666666666666, 0.9974996093139552, 0.8631986944104447, 1.0, 0.8616161616161616]"
137,200.0,13.0,0.03,0.04,15.0,12.0,"[0.955, 1.0, 0.9675, 0.925, 0.9]","[0.955, 1.0, 0.9675, 0.925, 0.9]","[0.9689655172413794, 1.0, 0.9754716981132076, 0.952724748351267, 0.9342657342657342]","[0.9526003949967082, 1.0, 0.9666185203017172, 0.9111518973088616, 0.8604010025062656]"
138,200.0,13.0,0.03,0.04,30.0,4.0,"[1.0, 0.95, 0.9, 0.9, 0.895]","[1.0, 0.95, 0.9, 0.9, 0.895]","[1.0, 0.9666666666666666, 0.9399009035266687, 0.95, 0.9049773755656109]","[1.0, 0.9466666666666665, 0.8627504831654969, 0.8666666666666666, 0.8892255892255893]"
139,200.0,13.0,0.03,0.04,30.0,6.0,"[1.0, 0.985, 0.97, 0.98, 1.0]","[1.0, 0.985, 0.97, 0.98, 1.0]","[1.0, 0.9869565217391305, 0.9769230769230769, 0.9833333333333334, 1.0]","[1.0, 0.9849151477058454, 0.969309462915601, 0.9797979797979798, 1.0]"
140,200.0,13.0,0.03,0.04,30.0,12.0,"[0.9, 0.98, 0.9, 0.815, 0.7]","[0.9, 0.98, 0.9, 0.815, 0.7]","[0.9288811396750737, 0.9833333333333334, 0.9481938870021611, 0.9172663240053303, 0.925]","[0.8585204028502997, 0.9797979797979798, 0.8696045488507457, 0.7699431003778829, 0.64]"
141,200.0,13.0,0.03,0.04,50.0,4.0,"[0.9, 1.0, 0.9, 1.0, 0.8225]","[0.9, 1.0, 0.9, 1.0, 0.8225]","[0.9410105757931845, 1.0, 0.95, 1.0, 0.894437215354587]","[0.8631986944104447, 1.0, 0.8666666666666666, 1.0, 0.7710555189817861]"
142,200.0,13.0,0.03,0.04,50.0,6.0,"[0.9725, 0.9, 1.0, 0.9, 1.0]","[0.9725, 0.9, 1.0, 0.9, 1.0]","[0.9784313725490196, 0.9333703806612949, 1.0, 0.9399009035266687, 1.0]","[0.9731373131373131, 0.8600160016001601, 1.0, 0.8627504831654969, 1.0]"
143,200.0,13.0,0.03,0.04,50.0,12.0,"[0.7, 0.855, 1.0, 0.7, 0.8]","[0.7, 0.855, 1.0, 0.7, 0.8]","[0.8533142180440761, 0.8998113826472036, 1.0, 0.7861155883030163, 0.900392156862745]","[0.6022576318983933, 0.8156627136836042, 1.0, 0.6202296521445457, 0.7335652173913044]"
144,200.0,13.0,0.05,0.025,15.0,4.0,"[0.7, 0.9425, 0.9, 0.75, 0.915]","[0.7, 0.9425, 0.9, 0.75, 0.915]","[0.86601581358912, 0.954484052532833, 0.9346801346801347, 0.7661916767940602, 0.9308375104427735]","[0.609055597099626, 0.9410217549177482, 0.860578081091931, 0.6944322847910246, 0.9097121146003766]"
145,200.0,13.0,0.05,0.025,15.0,6.0,"[0.985, 0.7775, 0.81, 0.825, 0.8825]","[0.985, 0.7775, 0.81, 0.825, 0.8825]","[0.9861471861471861, 0.8704432986123126, 0.8762185063240655, 0.8952873563218391, 0.9202795736292444]","[0.9846909627397431, 0.7102418207681366, 0.7775473316953355, 0.7896618047479749, 0.8431528424091463]"
146,200.0,13.0,0.05,0.025,15.0,12.0,"[0.795, 0.6675, 0.77, 0.73, 0.7325]","[0.795, 0.6675, 0.77, 0.73, 0.7325]","[0.9042900237017883, 0.8573556348211703, 0.8822134387351778, 0.8466091605454096, 0.8447469197469197]","[0.7670487757190334, 0.6148267058497627, 0.7097279478930855, 0.6591528531926677, 0.6647538429852751]"
147,200.0,13.0,0.05,0.025,30.0,4.0,"[0.8975, 0.7925, 0.875, 0.9525, 0.74]","[0.8975, 0.7925, 0.875, 0.9525, 0.74]","[0.946928064217351, 0.8722984294447952, 0.9221120984278879, 0.9591787439613526, 0.8270252920193828]","[0.8643116505861604, 0.7174521942000162, 0.8387317998754833, 0.9509968536852494, 0.6696257769368756]"
148,200.0,13.0,0.05,0.025,30.0,6.0,"[0.7275, 0.9725, 0.6725, 0.8725, 0.92]","[0.7275, 0.9725, 0.6725, 0.8725, 0.92]","[0.8186882003955174, 0.9752454780361757, 0.8261334605980472, 0.920460358056266, 0.9396574482056568]","[0.6738791423001949, 0.9723332545869754, 0.5773210802536813, 0.8411230970863999, 0.9137929453152904]"
149,200.0,13.0,0.05,0.025,30.0,12.0,"[0.5825, 0.7625, 0.7525, 0.665, 0.7825]","[0.5825, 0.7625, 0.7525, 0.665, 0.7825]","[0.828986568986569, 0.8439967099725152, 0.8614991759703275, 0.8993472668998694, 0.8660820923071577]","[0.5211603092425604, 0.724053759507819, 0.6877051580688804, 0.6046650218020313, 0.7078315493775313]"
150,200.0,13.0,0.05,0.025,50.0,4.0,"[0.7, 0.775, 0.83, 0.795, 0.755]","[0.7, 0.775, 0.83, 0.795, 0.755]","[0.9205545509342977, 0.8529322896508787, 0.8879028559516365, 0.8903435804701627, 0.8115725092103324]","[0.6379650160137965, 0.7023957018952046, 0.8051686742466885, 0.7604176215940922, 0.6843772036664163]"
151,200.0,13.0,0.05,0.025,50.0,6.0,"[0.96, 0.7, 0.85, 0.955, 0.95]","[0.96, 0.7, 0.85, 0.955, 0.95]","[0.9633333333333334, 0.8524433577930391, 0.9010709589518544, 0.95875, 0.9610305958132045]","[0.9597281492018334, 0.6043842444972739, 0.8164657848227828, 0.9550252525252526, 0.9488094094724475]"
152,200.0,13.0,0.05,0.025,50.0,12.0,"[0.6525, 0.8, 0.67, 0.9075, 0.71]","[0.6525, 0.8, 0.67, 0.9075, 0.71]","[0.8729470802919708, 0.9080562544931703, 0.8069070549471027, 0.9330572808833678, 0.8514574059767746]","[0.582820806217073, 0.7718727959411189, 0.562729018904363, 0.9030488667011877, 0.6201724318786466]"
153,200.0,13.0,0.05,0.04,15.0,4.0,"[0.975, 1.0, 1.0, 0.895, 1.0]","[0.975, 1.0, 1.0, 0.895, 1.0]","[0.98, 1.0, 1.0, 0.9168036750483559, 1.0]","[0.9746031746031746, 1.0, 1.0, 0.8859305775010068, 1.0]"
154,200.0,13.0,0.05,0.04,15.0,6.0,"[0.995, 0.6825, 0.8875, 0.895, 0.94]","[0.995, 0.6825, 0.8875, 0.895, 0.94]","[0.9952380952380951, 0.8436109263602526, 0.9268907563025209, 0.9421911421911422, 0.9488888888888889]","[0.9949968730456535, 0.5879069727153459, 0.8499086279574084, 0.8604706028434842, 0.938753142282554]"
155,200.0,13.0,0.05,0.04,15.0,12.0,"[0.67, 0.5325, 0.76, 0.9225, 0.8075]","[0.67, 0.5325, 0.76, 0.9225, 0.8075]","[0.8300930021767066, 0.6777752302342467, 0.8910973084886129, 0.9369652431764233, 0.8783380018674137]","[0.572400857244573, 0.4438932386642076, 0.7022119729200524, 0.9208630309790865, 0.7977522002079398]"
156,200.0,13.0,0.05,0.04,30.0,4.0,"[0.9175, 0.8175, 0.9, 1.0, 0.7925]","[0.9175, 0.8175, 0.9, 1.0, 0.7925]","[0.9507936507936509, 0.8910474890962696, 0.95, 1.0, 0.8743647816716085]","[0.9180894603120352, 0.76435617210811, 0.8666666666666666, 1.0, 0.7217681571211938]"
157,200.0,13.0,0.05,0.04,30.0,6.0,"[0.695, 0.8975, 0.9025, 0.9, 0.8725]","[0.695, 0.8975, 0.9025, 0.9, 0.8725]","[0.8603972211567148, 0.9493827160493828, 0.9208118341676294, 0.9296447903078284, 0.9223155929038281]","[0.6029273685620435, 0.8648498796945288, 0.9035844276172604, 0.8590493585084832, 0.8368917779960681]"
158,200.0,13.0,0.05,0.04,30.0,12.0,"[0.73, 0.7375, 0.795, 0.74, 0.8625]","[0.73, 0.7375, 0.795, 0.74, 0.8625]","[0.8464435981325659, 0.892063492063492, 0.9019047619047619, 0.9072261072261072, 0.9151671732522797]","[0.6583750116655149, 0.6823158987652924, 0.7321397301885108, 0.6977151702311559, 0.829527851458886]"
159,200.0,13.0,0.05,0.04,50.0,4.0,"[0.925, 0.7725, 0.725, 0.9, 0.785]","[0.925, 0.7725, 0.725, 0.9, 0.785]","[0.9451145552560647, 0.8822546840266752, 0.818979244269942, 0.923470588235294, 0.8658898165801066]","[0.9226403195686876, 0.7160981037263611, 0.6537742155867599, 0.9016932986498203, 0.7100121627003346]"
160,200.0,13.0,0.05,0.04,50.0,6.0,"[0.8, 0.9, 0.9275, 0.8575, 0.9625]","[0.8, 0.9, 0.9275, 0.8575, 0.9625]","[0.9007715320421981, 0.9465201465201466, 0.9414808206958074, 0.9107105454931542, 0.9727272727272728]","[0.7337885861612432, 0.8653575857792477, 0.9269619269619269, 0.8231415665014014, 0.9611336032388664]"
161,200.0,13.0,0.05,0.04,50.0,12.0,"[0.7875, 0.9, 0.8375, 0.785, 0.6875]","[0.7875, 0.9, 0.8375, 0.785, 0.6875]","[0.8852855924978686, 0.9481938870021611, 0.9166783954961295, 0.8751445983268623, 0.8148196166347046]","[0.7217131640708342, 0.865992322855068, 0.8121500893388922, 0.7138903950393812, 0.6276578417736411]"
